open,volume,weightedAverage,close,date,quoteVolume,high,low
3952,6728.40439964,3949.48348354,3945.17004665,1553185500,1.70361629,3952,3945.17004665
3954.0001,245.82097701,3954.0001,3954.0001,1553185800,0.0621702,3954.0001,3954.0001
3958.0811586,45.43584272,3958.08115859,3958.08115859,1553186100,0.01147926,3958.0811586,3958.08115859
3958.08115859,0,3958.08115859,3958.08115859,1553186400,0,3958.08115859,3958.08115859
3954.00010001,20364.21488217,3949.0290604,3954.64347316,1553186700,5.15676501,3954.64347316,3945.24912487
3949.01400049,2.98000494,3949.01400049,3949.01400049,1553187000,0.00075462,3949.01400049,3949.01400049
3953.00000001,3063.10893333,3956.19514166,3962.01313776,1553187300,0.77425628,3962.01313776,3952
3962.01313776,785.72663541,3962.01313776,3962.01313776,1553187600,0.198315,3962.01313776,3962.01313776
3963.99999999,180.95889911,3963.99999999,3963.99999999,1553187900,0.04565058,3963.99999999,3963.99999999
3952.00708908,1066.47480103,3952.00708907,3952.00708907,1553188200,0.2698565,3952.00708908,3952.00708907
3961.37211244,9.99335342,3961.37211244,3961.37211244,1553188500,0.0025227,3961.37211244,3961.37211244
3963.1878764,59900.01960007,3954.17045591,3960.0498671,1553188800,15.14856789,3963.1878764,3952.00508906
3960.0498671,1241.25838499,3960.04986709,3960.0498671,1553189100,0.31344514,3960.0498671,3960.04986709
3961.85728203,736.16595189,3960.12297657,3960.0498671,1553189400,0.18589472,3961.85728203,3960.04986709
3960.04986709,127.31176229,3957.94834614,3953.75126485,1553189700,0.0321661,3960.04986709,3953.75126485
3953.77126546,590.53673094,3954.01767448,3960.04986557,1553190000,0.14935106,3960.04986557,3953.77126546
3960.04986557,0,3960.04986557,3960.04986557,1553190300,0,3960.04986557,3960.04986557
3958.79008788,2.25294743,3958.79008788,3958.79008788,1553190600,0.0005691,3958.79008788,3958.79008788
3958.89008765,1175.08500058,3958.89008765,3958.89008765,1553190900,0.29682183,3958.89008765,3958.89008765
3958.79008732,68.35039336,3957.61086531,3955.1860782,1553191200,0.01727062,3958.79008732,3955.1860782
3955.1860782,300.85135531,3958.16006595,3960.04986706,1553191500,0.07600788,3960.04986706,3955.1860782
3960.04986706,1118.76332924,3960.20609054,3961.71235876,1553191800,0.28250129,3962.36344152,3960.04986706
3963.82906111,155.78367471,3963.82906111,3963.82906111,1553192100,0.03930131,3963.82906111,3963.82906111
3961.46950178,4551.12713339,3961.2845374,3963.24773961,1553192400,1.14890185,3963.24773961,3955.40000013
3961.6453534,2629.97600901,3961.96623695,3963.24777039,1553192700,0.66380576,3963.24777039,3961.6453534
3963.88761526,29.56743051,3963.88761685,3963.88762368,1553193000,0.0074592,3963.88762368,3963.88761525
3963.88756054,1023.43947724,3963.3058553,3963.25381016,1553193300,0.25822874,3963.88756054,3963.25381016
3963.88763302,30.68298752,3963.88763302,3963.88763302,1553193600,0.00774063,3963.88763302,3963.88763302
3963.88763302,129.99997592,3963.88763302,3963.88763302,1553193900,0.03279608,3963.88763302,3963.88763302
3959.24772233,71.96416782,3965.27815537,3966.90647611,1553194200,0.01814858,3967.83867935,3959.24772233
3966.58081278,588.8482051,3966.58162547,3966.57579699,1553194500,0.14845231,3966.59081295,3966.57579699
3966.54874403,510.00142418,3966.54010475,3966.53772892,1553194800,0.12857589,3966.54874403,3966.53772892
3966,18.63286289,3965.99999815,3965.99999242,1553195100,0.00469815,3966,3965.99999242
3966,1417.98924284,3965.9999984,3966,1553195400,0.35753637,3966,3965.99999365
3966,1135.50511399,3966.39597138,3973.79735205,1553195700,0.28628133,3973.79735205,3966
3966.44504687,503.23250383,3973.61996163,3964.6400004,1553196000,0.12664334,3974.1077445,3964.6400004
3972.83007409,162.45990728,3972.83007409,3972.83007409,1553196300,0.04089274,3972.83007409,3972.83007409
3964.6750923,6.98500422,3964.67509234,3964.67509246,1553196600,0.00176181,3964.67509246,3964.6750923
3972.07569024,129.85342204,3970.13965125,3963.29000061,1553196900,0.03270752,3972.07569024,3963.29000061
3970.72541705,114.63321479,3970.72541705,3970.72541705,1553197200,0.02886959,3970.72541705,3970.72541705
3973.85726598,34.00000485,3973.85726598,3973.85726598,1553197500,0.00855592,3973.85726598,3973.85726598
